dispositivo,fecha,tipo_med,valor
2CF7F1C051100031,2024-05-16 07:18:00,4097,12.57
2CF7F1C051100031,2024-05-16 07:17:52,4097,12.57
2CF7F1C051100031,2024-05-16 07:17:44,4097,12.57
2CF7F1C051100031,2024-05-16 07:12:55,4097,12.509
2CF7F1C051100031,2024-05-16 07:12:44,4097,12.509
2CF7F1C051100031,2024-05-16 07:12:34,4097,12.509
2CF7F1C051100031,2024-05-16 07:08:09,4097,12.48
2CF7F1C051100031,2024-05-16 07:07:49,4097,12.48
2CF7F1C051100031,2024-05-16 07:07:35,4097,12.48
2CF7F1C051100031,2024-05-16 07:03:09,4097,12.45
2CF7F1C051100031,2024-05-16 07:02:51,4097,12.45
2CF7F1C051100031,2024-05-16 07:02:39,4097,12.45
2CF7F1C051100031,2024-05-16 06:57:55,4097,12.45
2CF7F1C051100031,2024-05-16 06:57:46,4097,12.45
2CF7F1C051100031,2024-05-16 06:57:34,4097,12.45
2CF7F1C051100031,2024-05-16 06:52:50,4097,12.42
2CF7F1C051100031,2024-05-16 06:52:34,4097,12.42
2CF7F1C051100031,2024-05-16 06:52:26,4097,12.42
2CF7F1C051100031,2024-05-16 06:47:55,4097,12.36
2CF7F1C051100031,2024-05-16 06:47:35,4097,12.36
2CF7F1C051100031,2024-05-16 06:47:23,4097,12.36
2CF7F1C051100031,2024-05-16 06:42:46,4097,12.36
2CF7F1C051100031,2024-05-16 06:42:34,4097,12.36
2CF7F1C051100031,2024-05-16 06:42:25,4097,12.36
2CF7F1C051100031,2024-05-16 06:37:39,4097,12.33
2CF7F1C051100031,2024-05-16 06:37:24,4097,12.33
2CF7F1C051100031,2024-05-16 06:32:58,4097,12.3
2CF7F1C051100031,2024-05-16 06:32:38,4097,12.3
2CF7F1C051100031,2024-05-16 06:27:49,4097,12.269
2CF7F1C051100031,2024-05-16 06:27:31,4097,12.269
2CF7F1C051100031,2024-05-16 06:27:20,4097,12.269
2CF7F1C051100031,2024-05-16 06:22:35,4097,12.179
2CF7F1C051100031,2024-05-16 06:22:25,4097,12.179
2CF7F1C051100031,2024-05-16 06:22:14,4097,12.179
2CF7F1C051100031,2024-05-16 06:17:37,4097,12.059
2CF7F1C051100031,2024-05-16 06:17:20,4097,12.059
2CF7F1C051100031,2024-05-16 06:17:10,4097,12.059
2CF7F1C051100031,2024-05-16 06:12:48,4097,11.91
2CF7F1C051100031,2024-05-16 06:12:29,4097,11.91
2CF7F1C051100031,2024-05-16 06:12:13,4097,11.91
2CF7F1C051100031,2024-05-16 06:07:36,4097,11.809
2CF7F1C051100031,2024-05-16 06:07:15,4097,11.809
2CF7F1C051100031,2024-05-16 06:07:03,4097,11.809
2CF7F1C051100031,2024-05-16 06:02:31,4097,11.75
2CF7F1C051100031,2024-05-16 06:02:20,4097,11.75
2CF7F1C051100031,2024-05-16 06:02:01,4097,11.75
2CF7F1C051100031,2024-05-16 05:57:34,4097,11.719
2CF7F1C051100031,2024-05-16 05:57:18,4097,11.719
2CF7F1C051100031,2024-05-16 05:57:01,4097,11.719
2CF7F1C051100031,2024-05-16 05:52:19,4097,11.66
2CF7F1C051100031,2024-05-16 05:52:09,4097,11.66
2CF7F1C051100031,2024-05-16 05:51:57,4097,11.66
2CF7F1C051100031,2024-05-16 05:47:16,4097,11.599
2CF7F1C051100031,2024-05-16 05:46:59,4097,11.599
2CF7F1C051100031,2024-05-16 05:46:47,4097,11.599
2CF7F1C051100031,2024-05-16 05:42:14,4097,11.54
2CF7F1C051100031,2024-05-16 05:41:59,4097,11.54
2CF7F1C051100031,2024-05-16 05:41:39,4097,11.54
2CF7F1C051100031,2024-05-16 05:37:16,4097,11.48
2CF7F1C051100031,2024-05-16 05:36:55,4097,11.48
2CF7F1C051100031,2024-05-16 05:36:37,4097,11.48
2CF7F1C051100031,2024-05-16 05:32:03,4097,11.44
2CF7F1C051100031,2024-05-16 05:31:48,4097,11.44
2CF7F1C051100031,2024-05-16 05:31:37,4097,11.44
2CF7F1C051100031,2024-05-16 05:26:57,4097,11.44
2CF7F1C051100031,2024-05-16 05:26:38,4097,11.44
2CF7F1C051100031,2024-05-16 05:26:28,4097,11.44
2CF7F1C051100031,2024-05-16 05:21:53,4097,11.44
2CF7F1C051100031,2024-05-16 05:21:41,4097,11.44
2CF7F1C051100031,2024-05-16 05:16:48,4097,11.48
2CF7F1C051100031,2024-05-16 05:16:35,4097,11.48
2CF7F1C051100031,2024-05-16 05:16:23,4097,11.48
2CF7F1C051100031,2024-05-16 05:11:55,4097,11.48
2CF7F1C051100031,2024-05-16 05:11:36,4097,11.48
2CF7F1C051100031,2024-05-16 05:11:20,4097,11.48
2CF7F1C051100031,2024-05-16 05:06:44,4097,11.509
2CF7F1C051100031,2024-05-16 05:06:25,4097,11.509
2CF7F1C051100031,2024-05-16 05:06:08,4097,11.509
2CF7F1C051100031,2024-05-16 05:01:29,4097,11.509
2CF7F1C051100031,2024-05-16 05:01:15,4097,11.509
2CF7F1C051100031,2024-05-16 05:01:03,4097,11.509
2CF7F1C051100031,2024-05-16 04:56:31,4097,11.54
2CF7F1C051100031,2024-05-16 04:56:15,4097,11.54
2CF7F1C051100031,2024-05-16 04:51:15,4097,11.54
2CF7F1C051100031,2024-05-16 04:51:04,4097,11.54
2CF7F1C051100031,2024-05-16 04:50:47,4097,11.54
2CF7F1C051100031,2024-05-16 04:46:08,4097,11.57
2CF7F1C051100031,2024-05-16 04:45:56,4097,11.57
2CF7F1C051100031,2024-05-16 04:45:45,4097,11.57
2CF7F1C051100031,2024-05-16 04:41:14,4097,11.57
2CF7F1C051100031,2024-05-16 04:41:05,4097,11.57
2CF7F1C051100031,2024-05-16 04:36:23,4097,11.599
2CF7F1C051100031,2024-05-16 04:36:13,4097,11.599
2CF7F1C051100031,2024-05-16 04:35:53,4097,11.599
